id,idade,renda_anual,pontuacao_gastos,cluster
131,51,58513,85,0
132,50,46092,33,0
133,65,31338,7,0
134,40,20412,39,0
135,41,27543,82,0
136,54,125891,41,1
137,52,53496,40,0
138,61,80692,100,0
139,57,109084,5,1
140,39,112920,51,1
141,44,143555,25,1
142,52,64425,63,0
143,18,58756,97,2
144,52,38888,58,0
145,54,55735,55,0
146,64,67295,58,0
147,31,137474,69,1
148,20,134352,100,2
149,18,103042,32,2
150,22,105999,52,2
151,43,37955,21,0
152,31,57841,20,2
153,56,90640,69,1
154,44,85510,69,0
155,26,54911,3,2
156,32,79031,93,2
157,32,108726,74,2
158,43,27357,61,0
159,59,52479,61,0
160,30,81476,93,2
161,68,64811,94,0
162,49,56208,23,0
163,56,40150,54,0
164,66,91180,8,1
165,69,63286,2,0
166,49,132856,30,1
167,21,88450,39,2
168,47,41352,100,0
169,54,75069,35,0
170,40,131888,23,1
171,56,130448,94,1
172,62,34397,5,0
173,32,61555,65,2
174,60,66959,83,0
175,46,20728,91,0
176,53,70517,74,0
177,30,139180,3,2
178,49,86234,78,0
179,24,59954,5,2
180,68,67280,93,0
181,39,99459,50,2
182,45,36779,61,0
183,19,83932,56,2
184,59,92936,65,1
185,62,44466,78,0
186,70,56939,74,0
187,23,89896,7,2
188,45,55270,25,0
189,45,79163,50,0
190,61,102637,44,1
191,61,71934,43,0
192,37,84895,4,2
193,47,52307,69,0
194,28,74098,25,2
195,45,80921,67,0
196,42,25486,18,0
197,56,28335,83,0
198,50,106900,96,1
199,18,146020,19,2
200,44,141954,11,1
201,69,122795,46,1
202,30,109112,0,2
203,58,117203,89,1
204,20,31130,13,2
205,56,107508,63,1
206,23,125955,37,2
207,25,138324,36,2
208,44,80566,10,2
209,26,86703,99,2
210,54,47192,76,0
211,50,21062,2,0
212,68,104076,32,1
213,59,109780,5,1
214,61,41545,49,0
215,41,41689,9,0
216,32,31174,4,2
217,49,108461,22,1
218,49,146174,9,1
219,41,123033,43,1
220,58,29348,1,0
221,69,43714,12,0
222,66,58102,39,0
223,66,94460,1,1
224,69,122634,83,1
225,29,109930,64,2
226,56,26801,62,0
227,19,123150,100,2
228,20,92267,72,2
229,66,68136,16,0
230,54,43625,8,0
231,66,102873,74,1
232,34,120843,14,2
233,66,92592,23,1
234,19,97052,37,2
235,19,64261,34,2
236,45,21542,93,0
237,40,41677,94,0
238,54,66732,48,0
239,49,70343,68,0
240,50,59081,61,0
241,18,82856,59,2
242,36,113105,49,2
243,19,108858,77,2
244,70,39065,74,0
245,61,144097,8,1
246,43,103460,33,1
247,49,108092,75,1
248,23,146116,98,2
249,49,74693,34,0
250,21,46962,0,2
251,28,48295,39,2
252,34,33807,63,0
253,55,62348,21,0
254,41,46432,59,0
255,22,103285,63,2
256,69,126995,92,1
257,51,111792,71,1
258,23,77854,10,2
259,39,60262,100,0
260,28,57080,13,2
261,65,21324,59,0
262,33,111267,29,2
263,50,144707,34,1
264,26,55909,84,2
265,23,109339,36,2
266,33,39870,4,2
267,46,54578,82,0
268,20,92124,77,2
269,37,137611,25,1
270,53,123605,61,1
271,36,46790,3,2
272,43,138874,88,1
273,20,45289,41,2
274,36,75129,88,2
275,37,113714,17,2
276,49,114246,39,1
277,24,35485,71,2
278,69,64482,38,0
279,58,106188,13,1
280,50,24748,31,0
281,57,106769,50,1
282,56,29435,37,0
283,35,23709,96,0
284,57,143961,22,1
285,18,50355,62,2
286,28,75771,14,2
287,45,77799,96,0
288,42,33116,24,0
289,67,45470,16,0
290,40,62344,96,0
291,48,62918,65,0
292,47,72224,77,0
293,59,59298,52,0
294,52,128492,50,1
295,24,100219,38,2
296,33,81629,50,2
297,43,86040,69,0
298,65,119518,5,1
299,69,119835,66,1
300,66,48016,6,0
301,19,43960,50,2
302,18,53591,71,2
303,65,102848,41,1
304,29,123333,63,2
305,22,131732,14,2
306,54,134821,28,1
307,49,87641,32,1
308,26,56395,93,2
309,58,131276,26,1
310,52,149695,35,1
311,36,42700,28,2
312,65,54620,37,0
313,33,123214,56,2
314,20,148148,96,2
315,37,40559,100,0
316,41,113045,26,1
317,50,113396,54,1
318,41,81642,32,2
319,69,96539,67,1
320,28,41732,85,2
321,66,148675,65,1
322,25,111362,9,2
323,53,50354,4,0
324,55,33843,73,0
325,57,130008,96,1
326,37,134065,37,1
327,52,91726,12,1
328,65,37640,30,0
329,42,72528,46,0
330,52,58413,99,0
331,42,148142,87,1
332,46,72638,51,0
333,35,72736,55,2
334,63,127892,14,1
335,35,130133,28,1
336,19,126357,7,2
337,52,88866,4,1
338,33,39087,28,2
339,58,61430,46,0
340,53,44504,67,0
341,50,27114,75,0
342,21,98859,44,2
343,50,119657,1,1
344,31,30975,26,2
345,38,31023,94,0
346,65,41447,35,0
347,37,110469,35,2
348,25,145899,25,2
349,24,43959,42,2
350,20,86203,26,2
351,34,139156,68,1
352,50,49703,19,0
353,65,29337,10,0
354,29,66427,73,2
355,68,141507,37,1
356,39,81529,5,2
357,39,122023,71,1
358,63,104665,22,1
359,47,125787,46,1
360,55,51921,89,0
361,55,53307,45,0
362,62,47355,11,0
363,68,123268,89,1
364,25,147016,12,2
365,44,24835,61,0
366,44,40159,81,0
367,51,124346,88,1
368,38,67605,96,0
369,47,141790,59,1
370,50,125616,42,1
371,45,58088,75,0
372,64,98752,99,1
373,50,75284,67,0
374,22,77043,4,2
375,65,145388,36,1
376,36,55547,71,0
377,21,117007,91,2
378,52,102844,30,1
379,66,47532,8,0
380,34,54349,50,2
381,61,142402,28,1
382,45,138012,77,1
383,47,65445,39,0
384,46,25713,40,0
385,63,76178,85,0
386,70,69407,10,0
387,23,90340,22,2
388,52,70990,0,0
389,58,95672,45,1
390,54,149473,100,1
391,41,85545,20,2
392,46,104791,89,1
393,66,78141,35,0
394,63,43793,53,0
395,70,76570,86,0
396,48,115084,56,1
397,52,57892,0,0
398,50,21015,62,0
399,69,144704,53,1
400,38,81813,54,2
401,49,47712,39,0
402,40,120497,14,1
403,50,28415,20,0
404,20,131854,46,2
405,35,132816,72,1
406,42,148778,52,1
407,59,82292,8,1
408,48,43833,73,0
409,20,24158,51,2
410,57,82680,56,0
411,63,40309,25,0
412,41,26970,40,0
413,67,92474,34,1
414,49,106704,62,1
415,64,66540,24,0
416,39,40384,89,0
417,40,38017,74,0
418,19,95880,37,2
419,44,125570,1,1
420,59,28702,6,0
421,19,20384,81,2
422,43,20404,90,0
423,34,60943,33,2
424,57,67926,90,0
425,50,49189,16,0
426,26,32763,42,2
427,60,38384,58,0
428,65,80100,50,0
429,56,118142,53,1
430,46,29860,23,0
431,59,124293,24,1
432,43,100642,70,1
433,52,70612,51,0
434,67,43574,69,0
435,42,43524,87,0
436,41,89172,32,2
437,30,30916,48,2
438,24,24809,28,2
439,53,52201,62,0
440,62,73330,21,0
441,37,33456,25,0
442,18,133748,27,2
443,25,76397,84,2
444,63,141288,48,1
445,33,58765,70,2
446,31,54816,80,2
447,29,65106,83,2
448,68,73932,48,0
449,40,37100,19,0
450,32,77091,85,2
451,45,41949,91,0
452,51,90080,62,1
453,19,57744,60,2
454,49,65543,48,0
455,40,128319,70,1
456,39,112193,0,1
457,68,56187,95,0
458,42,132734,12,1
459,39,27239,93,0
460,39,144454,86,1
461,66,34489,50,0
462,69,134937,55,1
463,59,78017,82,0
464,23,81877,61,2
465,32,63125,31,2
466,60,69922,29,0
467,54,114074,28,1
468,50,52049,48,0
469,25,57131,44,2
470,70,62944,92,0
471,61,135765,29,1
472,61,93963,15,1
473,22,126884,39,2
474,56,145917,18,1
475,21,44285,17,2
476,23,57626,0,2
477,62,62808,77,0
478,49,108464,46,1
479,69,73871,65,0
480,47,39198,91,0
481,64,39758,93,0
482,52,35254,37,0
483,57,64238,50,0
484,69,21252,62,0
485,33,59764,3,2
486,30,97709,0,2
487,67,57441,7,0
488,59,112234,28,1
489,47,73682,54,0
490,36,79494,2,2
491,34,101317,31,2
492,36,85215,9,2
493,45,98587,73,1
494,43,125185,82,1
495,54,26949,33,0
496,43,127825,96,1
497,70,75393,86,0
498,40,93553,54,2
499,26,26941,91,2
500,29,45934,31,2
